Ort,PLZ,Gemeindename,Kanton,Sprache
Courtemaîche,2923,Basse-Allaine,JU,fr
Montignez,2924,Basse-Allaine,JU,fr
Buix,2925,Basse-Allaine,JU,fr
Boncourt,2926,Boncourt,JU,fr
Coeuve,2932,Coeuve,JU,fr
Damphreux,2933,Damphreux,JU,fr
Lugnez,2933,Lugnez,JU,fr
Beurnevésin,2935,Beurnevésin,JU,fr
Alle,2942,Alle,JU,fr
Vendlincourt,2943,Vendlincourt,JU,fr
Bonfol,2944,Bonfol,JU,fr
Miécourt,2946,La Baroche,JU,fr
Charmoille,2947,La Baroche,JU,fr
Courgenay,2950,Courgenay,JU,fr
Courtemautruy,2950,Courgenay,JU,fr
Cornol,2952,Cornol,JU,fr
Fregiécourt,2953,La Baroche,JU,fr
Pleujouse,2953,La Baroche,JU,fr
Asuel,2954,La Baroche,JU,fr
Bern,3004,Bern,BE,de
Bern,3005,Bern,BE,de
Bern,3006,Bern,BE,de
Bern,3007,Bern,BE,de
Bern,3008,Bern,BE,de
Bern,3010,Bern,BE,de
Bern,3011,Bern,BE,de
Bern,3011,Bern,BE,de
Bern,3012,Bern,BE,de
Bern,3013,Bern,BE,de
Bern,3014,Bern,BE,de
Bern,3015,Bern,BE,de
Bern,3018,Bern,BE,de
Bern,3019,Bern,BE,de
Bern,3020,Bern,BE,de
Bern,3027,Bern,BE,de
Hinterkappelen,3032,Wohlen bei Bern,BE,de
Wohlen b. Bern,3033,Wohlen bei Bern,BE,de
Murzelen,3034,Wohlen bei Bern,BE,de
Frieswil,3035,Seedorf (BE),BE,de
Detligen,3036,Radelfingen,BE,de
Herrenschwanden,3037,Kirchlindach,BE,de
Kirchlindach,3038,Kirchlindach,BE,de
Ortschwaben,3042,Meikirch,BE,de
Uettligen,3043,Wohlen bei Bern,BE,de
Innerberg,3044,Wohlen bei Bern,BE,de
Meikirch,3045,Meikirch,BE,de
Wahlendorf,3046,Meikirch,BE,de
Bremgarten b. Bern,3047,Bremgarten bei Bern,BE,de
Worblaufen,3048,Ittigen,BE,de
Säriswil,3049,Wohlen bei Bern,BE,de
Zollikofen,3052,Zollikofen,BE,de
Lätti,3053,Rapperswil (BE),BE,de
Deisswil b. Münchenbuchsee,3053,Deisswil bei Münchenbuchsee,BE,de
Diemerswil,3053,Diemerswil,BE,de
Münchenbuchsee,3053,Münchenbuchsee,BE,de
Wiggiswil,3053,Wiggiswil,BE,de
Schüpfen,3054,Schüpfen,BE,de
Ittigen,3063,Ittigen,BE,de
Bolligen,3065,Bolligen,BE,de
Stettlen,3066,Stettlen,BE,de
Boll,3067,Vechigen,BE,de
Utzigen,3068,Vechigen,BE,de
Ostermundigen,3072,Ostermundigen,BE,de
Gümligen,3073,Muri bei Bern,BE,de
Muri b. Bern,3074,Muri bei Bern,BE,de
Rüfenacht,3075,Worb,BE,de
Vielbringen b. Worb,3075,Worb,BE,de
Worb,3076,Worb,BE,de
Enggistein,3077,Worb,BE,de
Richigen,3078,Worb,BE,de
Schlosswil,3082,Grosshöchstetten,BE,de
Trimstein,3083,Münsingen,BE,de
Wabern,3084,Köniz,BE,de
Zimmerwald,3086,Wald (BE),BE,de
Englisberg,3086,Wald (BE),BE,de
Niedermuhlern,3087,Niedermuhlern,BE,de
Rüeggisberg,3088,Rüeggisberg,BE,de
Oberbütschel,3088,Rüeggisberg,BE,de
Hinterfultigen,3089,Rüeggisberg,BE,de
Spiegel b. Bern,3095,Köniz,BE,de
Oberbalm,3096,Oberbalm,BE,de
Liebefeld,3097,Köniz,BE,de
Köniz,3098,Köniz,BE,de
Köniz,3098,Köniz,BE,de
Schliern b. Köniz,3098,Köniz,BE,de
Rüti b. Riggisberg,3099,Riggisberg,BE,de
Münsingen,3110,Münsingen,BE,de
Tägertschi,3111,Münsingen,BE,de
Allmendingen b. Bern,3112,Allmendingen,BE,de
Rubigen,3113,Rubigen,BE,de
Wichtrach,3114,Wichtrach,BE,de
Gerzensee,3115,Gerzensee,BE,de
Kirchdorf BE,3116,Kirchdorf (BE),BE,de
Mühledorf BE,3116,Kirchdorf (BE),BE,de
Noflen BE,3116,Kirchdorf (BE),BE,de
Kehrsatz,3122,Kehrsatz,BE,de
Belp,3123,Belp,BE,de
Belpberg,3124,Belp,BE,de
Toffen,3125,Toffen,BE,de
Kaufdorf,3126,Kaufdorf,BE,de
Gelterfingen,3126,Kirchdorf (BE),BE,de
Lohnstorf,3127,Lohnstorf,BE,de
Mühlethurnen,3127,Mühlethurnen,BE,de
Kirchenthurnen,3128,Kirchenthurnen,BE,de
Rümligen,3128,Rümligen,BE,de
Riggisberg,3132,Riggisberg,BE,de
Gasel,3144,Köniz,BE,de
Niederscherli,3145,Köniz,BE,de
Mittelhäusern,3147,Köniz,BE,de
Lanzenhäusern,3148,Schwarzenburg,BE,de
Schwarzenburg,3150,Schwarzenburg,BE,de
Mamishaus,3152,Schwarzenburg,BE,de
Rüschegg Gambach,3153,Rüschegg,BE,de
Rüschegg Heubach,3154,Rüschegg,BE,de
Helgisried-Rohrbach,3155,Rüeggisberg,BE,de
Riffenmatt,3156,Guggisberg,BE,de
Milken,3157,Schwarzenburg,BE,de
Guggisberg,3158,Guggisberg,BE,de
Riedstätt,3159,Guggisberg,BE,de
Niederwangen b. Bern,3172,Köniz,BE,de
Oberwangen b. Bern,3173,Köniz,BE,de
Thörishaus,3174,Köniz,BE,de
Flamatt,3175,Wünnewil-Flamatt,FR,de
Neuenegg,3176,Neuenegg,BE,de
Laupen BE,3177,Laupen,BE,de
Bösingen,3178,Bösingen,FR,de
Kriechenwil,3179,Kriechenwil,BE,de
Ueberstorf,3182,Ueberstorf,FR,de
Albligen,3183,Schwarzenburg,BE,de
Wünnewil,3184,Wünnewil-Flamatt,FR,de
Schmitten FR,3185,Schmitten (FR),FR,de
Düdingen,3186,Düdingen,FR,de
Frauenkappelen,3202,Frauenkappelen,BE,de
Mühleberg,3203,Mühleberg,BE,de
Rosshäusern,3204,Mühleberg,BE,de
Gümmenen,3205,Mühleberg,BE,de
Rizenbach,3206,Ferenbalm,BE,de
Ferenbalm,3206,Ferenbalm,BE,de
Biberen,3206,Ferenbalm,BE,de
Gammen,3206,Ferenbalm,BE,de
Wallenbuch,3206,Gurmels,FR,de
Golaten,3207,Kallnach,BE,de
Wileroltigen,3207,Wileroltigen,BE,de
Gurbrü,3208,Gurbrü,BE,de
Kerzers,3210,Kerzers,FR,de
Gurmels,3212,Gurmels,FR,de
Kleingurmels,3212,Gurmels,FR,de
Liebistorf,3213,Gurmels,FR,de
Kleinbösingen,3213,Kleinbösingen,FR,de
Ulmiz,3214,Ulmiz,FR,de
Gempenach,3215,Gempenach,FR,de
Büchslen,3215,Murten,FR,de
Lurtigen,3215,Murten,FR,de
Ried b. Kerzers,3216,Ried bei Kerzers,FR,de
Agriswil,3216,Ried bei Kerzers,FR,de
Müntschemier,3225,Müntschemier,BE,de
Treiten,3226,Treiten,BE,de
Ins,3232,Ins,BE,de
Tschugg,3233,Tschugg,BE,de
Vinelz,3234,Vinelz,BE,de
Erlach,3235,Erlach,BE,de
Gampelen,3236,Gampelen,BE,de
Brüttelen,3237,Brüttelen,BE,de
Gals,3238,Gals,BE,de
Lyss,3250,Lyss,BE,de
Ruppoldsried,3251,Rapperswil (BE),BE,de
Wengi b. Büren,3251,Wengi,BE,de
Worben,3252,Worben,BE,de
Schnottwil,3253,Schnottwil,SO,de
Messen,3254,Messen,SO,de
Balm b. Messen,3254,Messen,SO,de
Rapperswil BE,3255,Rapperswil (BE),BE,de
Dieterswil,3256,Rapperswil (BE),BE,de
Bangerten b. Dieterswil,3256,Rapperswil (BE),BE,de
Seewil,3256,Rapperswil (BE),BE,de
Grossaffoltern,3257,Grossaffoltern,BE,de
Ammerzwil BE,3257,Grossaffoltern,BE,de
Suberg,3262,Grossaffoltern,BE,de
Büetigen,3263,Büetigen,BE,de
Diessbach b. Büren,3264,Diessbach bei Büren,BE,de
Wiler b. Seedorf,3266,Seedorf (BE),BE,de
Seedorf BE,3267,Seedorf (BE),BE,de
Lobsigen,3268,Seedorf (BE),BE,de
Aarberg,3270,Aarberg,BE,de
Radelfingen b. Aarberg,3271,Radelfingen,BE,de
Epsach,3272,Epsach,BE,de
Walperswil,3272,Walperswil,BE,de
Kappelen,3273,Kappelen,BE,de
Bühl b. Aarberg,3274,Bühl,BE,de
Hermrigen,3274,Hermrigen,BE,de
Merzligen,3274,Merzligen,BE,de
Greng,3280,Greng,FR,de
Meyriez,3280,Meyriez,FR,de
Murten,3280,Murten,FR,de
Bargen BE,3282,Bargen (BE),BE,de
Kallnach,3283,Kallnach,BE,de
Niederried b. Kallnach,3283,Kallnach,BE,de
Fräschels,3284,Fräschels,FR,de
Galmiz,3285,Galmiz,FR,de
Muntelier,3286,Muntelier,FR,de
Busswil BE,3292,Lyss,BE,de
Dotzigen,3293,Dotzigen,BE,de
Büren an der Aare,3294,Büren an der Aare,BE,de
Meienried,3294,Meienried,BE,de
Rüti b. Büren,3295,Rüti bei Büren,BE,de
Arch,3296,Arch,BE,de
Leuzigen,3297,Leuzigen,BE,de
Oberwil b. Büren,3298,Oberwil bei Büren,BE,de
Moosseedorf,3302,Moosseedorf,BE,de
Jegenstorf,3303,Jegenstorf,BE,de
Münchringen,3303,Jegenstorf,BE,de
Ballmoos,3303,Jegenstorf,BE,de
Zuzwil BE,3303,Zuzwil (BE),BE,de
Scheunen,3305,Jegenstorf,BE,de
Iffwil,3305,Iffwil,BE,de
Etzelkofen,3306,Fraubrunnen,BE,de
Brunnenthal,3307,Messen,SO,de
Grafenried,3308,Fraubrunnen,BE,de
Kernenried,3309,Kernenried,BE,de
Zauggenried,3309,Fraubrunnen,BE,de
Fraubrunnen,3312,Fraubrunnen,BE,de
Büren zum Hof,3313,Fraubrunnen,BE,de
Schalunen,3314,Fraubrunnen,BE,de
Bätterkinden,3315,Bätterkinden,BE,de
Kräiligen,3315,Bätterkinden,BE,de
Limpach,3317,Fraubrunnen,BE,de
Mülchi,3317,Fraubrunnen,BE,de
Mattstetten,3322,Mattstetten,BE,de
Urtenen-Schönbühl,3322,Urtenen-Schönbühl,BE,de
Bäriswil BE,3323,Bäriswil,BE,de
Hindelbank,3324,Hindelbank,BE,de
Mötschwil,3324,Mötschwil,BE,de
Hettiswil b. Hindelbank,3325,Krauchthal,BE,de
Krauchthal,3326,Krauchthal,BE,de
Herzogenbuchsee,3360,Herzogenbuchsee,BE,de
Niederönz,3362,Niederönz,BE,de
Oberönz,3363,Herzogenbuchsee,BE,de
Grasswil,3365,Seeberg,BE,de
Seeberg,3365,Seeberg,BE,de
Bettenhausen,3366,Bettenhausen,BE,de
Bollodingen,3366,Bettenhausen,BE,de
Ochlenberg,3367,Ochlenberg,BE,de
Thörigen,3367,Thörigen,BE,de
Bleienbach,3368,Bleienbach,BE,de
Wanzwil,3372,Heimenhausen,BE,de
Röthenbach Herzogenbuchsee,3373,Heimenhausen,BE,de
Heimenhausen,3373,Heimenhausen,BE,de
Wangenried,3374,Wangenried,BE,de
Inkwil,3375,Inkwil,BE,de
Berken,3376,Berken,BE,de
Graben,3376,Graben,BE,de
Walliswil b. Wangen,3377,Walliswil bei Wangen,BE,de
Walliswil b. Niederbipp,3380,Walliswil bei Niederbipp,BE,de
Wangen an der Aare,3380,Wangen an der Aare,BE,de
Burgdorf,3400,Burgdorf,BE,de
Heimiswil,3412,Heimiswil,BE,de
Kaltacker,3413,Heimiswil,BE,de
Oberburg,3414,Oberburg,BE,de
Hasle b. Burgdorf,3415,Hasle bei Burgdorf,BE,de
Schafhausen im Emmental,3415,Hasle bei Burgdorf,BE,de
Rüegsauschachen,3415,Rüegsau,BE,de
Affoltern im Emmental,3416,Affoltern im Emmental,BE,de
Rüegsau,3417,Rüegsau,BE,de
Rüegsbach,3418,Rüegsau,BE,de
Biembach im Emmental,3419,Hasle bei Burgdorf,BE,de
Lyssach,3421,Lyssach,BE,de
Lyssach,3421,Oberburg,BE,de
Rüti b. Lyssach,3421,Rüti bei Lyssach,BE,de
Kirchberg BE,3422,Kirchberg (BE),BE,de
Rüdtligen,3422,Rüdtligen-Alchenflüh,BE,de
Alchenflüh,3422,Rüdtligen-Alchenflüh,BE,de
Ersigen,3423,Ersigen,BE,de
Niederösch,3424,Ersigen,BE,de
Oberösch,3424,Ersigen,BE,de
Koppigen,3425,Koppigen,BE,de
Willadingen,3425,Willadingen,BE,de
Aefligen,3426,Aefligen,BE,de
Utzenstorf,3427,Utzenstorf,BE,de
Wiler b. Utzenstorf,3428,Wiler bei Utzenstorf,BE,de
Hellsau,3429,Hellsau,BE,de
Höchstetten,3429,Höchstetten,BE,de
Lützelflüh-Goldbach,3432,Lützelflüh,BE,de
Schwanden im Emmental,3433,Rüderswil,BE,de
Obergoldbach,3434,Landiswil,BE,de
Landiswil,3434,Landiswil,BE,de
Ramsei,3435,Lützelflüh,BE,de
Zollbrück,3436,Rüderswil,BE,de
Rüderswil,3437,Rüderswil,BE,de
Lauperswil,3438,Lauperswil,BE,de
Ranflüh,3439,Lützelflüh,BE,de
Grünenmatt,3452,Lützelflüh,BE,de
Heimisbach,3453,Trachselwald,BE,de
Sumiswald,3454,Sumiswald,BE,de
Grünen,3455,Sumiswald,BE,de
Trachselwald,3456,Trachselwald,BE,de
Wasen im Emmental,3457,Sumiswald,BE,de
Weier im Emmental,3462,Affoltern im Emmental,BE,de
Häusernmoos im Emmental,3463,Affoltern im Emmental,BE,de
Schmidigen-Mühleweg,3464,Walterswil (BE),BE,de
Dürrenroth,3465,Dürrenroth,BE,de
Rumendingen,3472,Rumendingen,BE,de
Wynigen,3472,Wynigen,BE,de
Alchenstorf,3473,Alchenstorf,BE,de
Rüedisbach,3474,Wynigen,BE,de
Riedtwil,3475,Seeberg,BE,de
Hermiswil,3475,Seeberg,BE,de
Oschwand,3476,Ochlenberg,BE,de
Gysenstein,3503,Konolfingen,BE,de
Niederhünigen,3504,Niederhünigen,BE,de
Oberhünigen,3504,Oberhünigen,BE,de
Grosshöchstetten,3506,Grosshöchstetten,BE,de
Biglen,3507,Biglen,BE,de
Arni BE,3508,Arni (BE),BE,de
Freimettigen,3510,Freimettigen,BE,de
Häutligen,3510,Häutligen,BE,de
Konolfingen,3510,Konolfingen,BE,de
Walkringen,3512,Walkringen,BE,de
Bigenthal,3513,Walkringen,BE,de
Oberthal,3531,Oberthal,BE,de
Mirchel,3532,Mirchel,BE,de
Zäziwil,3532,Zäziwil,BE,de
Bowil,3533,Bowil,BE,de
Signau,3534,Signau,BE,de
Schüpbach,3535,Signau,BE,de
Aeschau,3536,Eggiwil,BE,de
Eggiwil,3537,Eggiwil,BE,de
Röthenbach im Emmental,3538,Röthenbach im Emmental,BE,de
Emmenmatt,3543,Lauperswil,BE,de
Langnau im Emmental,3550,Langnau im Emmental,BE,de
Oberfrittenbach,3551,Langnau im Emmental,BE,de
Bärau,3552,Langnau im Emmental,BE,de
Gohl,3553,Langnau im Emmental,BE,de
Trubschachen,3555,Trubschachen,BE,de
Trub,3556,Trub,BE,de
Fankhaus (Trub),3557,Trub,BE,de
Thun,3600,Thun,BE,de
Thun,3603,Thun,BE,de
Thun,3604,Thun,BE,de
Thun,3608,Thun,BE,de
Steffisburg,3612,Steffisburg,BE,de
Steffisburg,3613,Steffisburg,BE,de
Unterlangenegg,3614,Unterlangenegg,BE,de
Heimenschwand,3615,Buchholterberg,BE,de
Schwarzenegg,3616,Unterlangenegg,BE,de
Fahrni b. Thun,3617,Fahrni,BE,de
Süderen,3618,Wachseldorn,BE,de
Eriz,3619,Eriz,BE,de
Innereriz,3619,Eriz,BE,de
Homberg b. Thun,3622,Homberg,BE,de
Horrenbach,3623,Horrenbach-Buchen,BE,de
Buchen BE,3623,Horrenbach-Buchen,BE,de
Teuffenthal b. Thun,3623,Teuffenthal (BE),BE,de
Schwendibach,3624,Schwendibach,BE,de
Goldiwil (Thun),3624,Thun,BE,de
Heiligenschwendi,3625,Heiligenschwendi,BE,de
Hünibach,3626,Hilterfingen,BE,de
Heimberg,3627,Heimberg,BE,de
Uttigen,3628,Uttigen,BE,de
Kiesen,3629,Kiesen,BE,de
Oppligen,3629,Oppligen,BE,de
Jaberg,3629,Jaberg,BE,de
Höfen b. Thun,3631,Stocken-Höfen,BE,de
Niederstocken,3632,Stocken-Höfen,BE,de
Oberstocken,3632,Stocken-Höfen,BE,de
Amsoldingen,3633,Amsoldingen,BE,de
Thierachern,3634,Thierachern,BE,de
Uebeschi,3635,Uebeschi,BE,de
Längenbühl,3636,Forst-Längenbühl,BE,de
Forst b. Längenbühl,3636,Forst-Längenbühl,BE,de
Blumenstein,3638,Blumenstein,BE,de
Pohlern,3638,Pohlern,BE,de
Gwatt (Thun),3645,Spiez,BE,de
Zwieselberg,3645,Zwieselberg,BE,de
Einigen,3646,Spiez,BE,de
Reutigen,3647,Reutigen,BE,de
Hilterfingen,3652,Hilterfingen,BE,de
Oberhofen am Thunersee,3653,Oberhofen am Thunersee,BE,de
Gunten,3654,Sigriswil,BE,de
Sigriswil,3655,Sigriswil,BE,de
Tschingel ob Gunten,3656,Sigriswil,BE,de
Aeschlen ob Gunten,3656,Sigriswil,BE,de
Ringoldswil,3656,Sigriswil,BE,de
Schwanden (Sigriswil),3657,Sigriswil,BE,de
Merligen,3658,Sigriswil,BE,de
Uetendorf,3661,Uetendorf,BE,de
Seftigen,3662,Seftigen,BE,de
Gurzelen,3663,Gurzelen,BE,de
Burgistein,3664,Burgistein,BE,de
Wattenwil,3665,Wattenwil,BE,de
Brenzikofen,3671,Brenzikofen,BE,de
Herbligen,3671,Herbligen,BE,de
Oberdiessbach,3672,Oberdiessbach,BE,de
Aeschlen b. Oberdiessbach,3672,Oberdiessbach,BE,de
Linden,3673,Linden,BE,de
Bleiken b. Oberdiessbach,3674,Oberdiessbach,BE,de
Spiez,3700,Spiez,BE,de
Hondrich,3702,Spiez,BE,de
Aeschi b. Spiez,3703,Aeschi bei Spiez,BE,de
Aeschiried,3703,Aeschi bei Spiez,BE,de
Krattigen,3704,Krattigen,BE,de
Faulensee,3705,Spiez,BE,de
Leissigen,3706,Leissigen,BE,de
Därligen,3707,Därligen,BE,de
Emdthal,3711,Aeschi bei Spiez,BE,de
Mülenen,3711,Reichenbach im Kandertal,BE,de
Reichenbach im Kandertal,3713,Reichenbach im Kandertal,BE,de
Frutigen,3714,Frutigen,BE,de
Wengi b. Frutigen,3714,Reichenbach im Kandertal,BE,de
Adelboden,3715,Adelboden,BE,de
Kandergrund,3716,Kandergrund,BE,de
Blausee-Mitholz,3717,Kandergrund,BE,de
Kandersteg,3718,Kandersteg,BE,de
Scharnachtal,3722,Reichenbach im Kandertal,BE,de
Kiental,3723,Reichenbach im Kandertal,BE,de
Ried (Frutigen),3724,Frutigen,BE,de
Achseten,3725,Frutigen,BE,de
Wimmis,3752,Wimmis,BE,de
Oey,3753,Diemtigen,BE,de
Diemtigen,3754,Diemtigen,BE,de
Horboden,3755,Diemtigen,BE,de
Zwischenflüh,3756,Diemtigen,BE,de
Schwenden im Diemtigtal,3757,Diemtigen,BE,de
Latterbach,3758,Erlenbach im Simmental,BE,de
Erlenbach im Simmental,3762,Erlenbach im Simmental,BE,de
Därstetten,3763,Därstetten,BE,de
Weissenburg,3764,Därstetten,BE,de
Oberwil im Simmental,3765,Oberwil im Simmental,BE,de
Boltigen,3766,Boltigen,BE,de
Zweisimmen,3770,Zweisimmen,BE,de
Blankenburg,3771,Zweisimmen,BE,de
St. Stephan,3772,St. Stephan,BE,de
Matten (St. Stephan),3773,St. Stephan,BE,de
Lenk im Simmental,3775,Lenk,BE,de
Oeschseite,3776,Zweisimmen,BE,de
Saanenmöser,3777,Saanen,BE,de
Schönried,3778,Saanen,BE,de
Gstaad,3780,Saanen,BE,de
Turbach,3781,Saanen,BE,de
Lauenen b. Gstaad,3782,Lauenen,BE,de
Grund b. Gstaad,3783,Saanen,BE,de
Feutersoey,3784,Gsteig,BE,de
Gsteig b. Gstaad,3785,Gsteig,BE,de
Saanen,3792,Saanen,BE,de
Sundlauenen,3800,Beatenberg,BE,de
Interlaken,3800,Gündlischwand,BE,de
Interlaken,3800,Interlaken,BE,de
Matten b. Interlaken,3800,Matten bei Interlaken,BE,de
Unterseen,3800,Unterseen,BE,de
Jungfraujoch,3801,Fieschertal,VS,de
Beatenberg,3803,Beatenberg,BE,de
Habkern,3804,Habkern,BE,de
Goldswil b. Interlaken,3805,Ringgenberg (BE),BE,de
Bönigen b. Interlaken,3806,Bönigen,BE,de
Iseltwald,3807,Iseltwald,BE,de
Wilderswil,3812,Wilderswil,BE,de
Saxeten,3813,Saxeten,BE,de
Gsteigwiler,3814,Gsteigwiler,BE,de
Zweilütschinen,3815,Gündlischwand,BE,de
Gündlischwand,3815,Gündlischwand,BE,de
Burglauenen,3816,Grindelwald,BE,de
Lütschental,3816,Lütschental,BE,de
Grindelwald,3818,Grindelwald,BE,de
Lauterbrunnen,3822,Lauterbrunnen,BE,de
Isenfluh,3822,Lauterbrunnen,BE,de
Wengen,3823,Lauterbrunnen,BE,de
Kleine Scheidegg,3823,Lauterbrunnen,BE,de
Eigergletscher,3823,Lauterbrunnen,BE,de
Stechelberg,3824,Lauterbrunnen,BE,de
Mürren,3825,Lauterbrunnen,BE,de
Gimmelwald,3826,Lauterbrunnen,BE,de
Ringgenberg BE,3852,Ringgenberg (BE),BE,de
Niederried b. Interlaken,3853,Niederried bei Interlaken,BE,de
Oberried am Brienzersee,3854,Oberried am Brienzersee,BE,de
Brienz BE,3855,Brienz (BE),BE,de
Axalp,3855,Brienz (BE),BE,de
Schwanden b. Brienz,3855,Schwanden bei Brienz,BE,de
Brienzwiler,3856,Brienzwiler,BE,de
Unterbach BE,3857,Meiringen,BE,de
Hofstetten b. Brienz,3858,Hofstetten bei Brienz,BE,de
Meiringen,3860,Meiringen,BE,de
Brünig,3860,Meiringen,BE,de
Rosenlaui,3860,Schattenhalb,BE,de
Schattenhalb,3860,Schattenhalb,BE,de
Innertkirchen,3862,Innertkirchen,BE,de
Gadmen,3863,Innertkirchen,BE,de
Guttannen,3864,Guttannen,BE,de
Brig,3900,Brig-Glis,VS,de
Gamsen,3900,Brig-Glis,VS,de
Brigerbad,3900,Brig-Glis,VS,de
Rothwald,3901,Ried-Brig,VS,de
Glis,3902,Brig-Glis,VS,de
Mund,3903,Naters,VS,de
Birgisch,3903,Naters,VS,de
Naters,3904,Naters,VS,de
Saas-Almagell,3905,Saas-Almagell,VS,de
Saas-Fee,3906,Saas-Fee,VS,de
Simplon Dorf,3907,Simplon,VS,de
Simplon Hospiz,3907,Simplon,VS,de
Gabi (Simplon),3907,Simplon,VS,de
Gondo,3907,Zwischbergen,VS,de
Saas-Balen,3908,Saas-Balen,VS,de
Saas-Grund,3910,Saas-Grund,VS,de
Ried-Brig,3911,Ried-Brig,VS,de
Termen,3912,Termen,VS,de
Rosswald,3913,Termen,VS,de
Blatten b. Naters,3914,Naters,VS,de
Belalp,3914,Naters,VS,de
Ferden,3916,Ferden,VS,de
Goppenstein,3917,Ferden,VS,de
Kippel,3917,Kippel,VS,de
Wiler (Lötschen),3918,Wiler (Lötschen),VS,de
Blatten (Lötschen),3919,Blatten,VS,de
Zermatt,3920,Zermatt,VS,de
Eisten,3922,Eisten,VS,de
Kalpetran,3922,Embd,VS,de
Stalden VS,3922,Stalden (VS),VS,de
Törbel,3923,Törbel,VS,de
St. Niklaus VS,3924,St. Niklaus,VS,de
Grächen,3925,Grächen,VS,de
Embd,3926,Embd,VS,de
Herbriggen,3927,St. Niklaus,VS,de
Randa,3928,Randa,VS,de
Täsch,3929,Täsch,VS,de
Visp,3930,Visp,VS,de
Eyholz,3930,Visp,VS,de
Lalden,3931,Lalden,VS,de
Visperterminen,3932,Visperterminen,VS,de
Staldenried,3933,Staldenried,VS,de
Zeneggen,3934,Zeneggen,VS,de
Bürchen,3935,Bürchen,VS,de
Baltschieder,3937,Baltschieder,VS,de
Baltschieder,3937,Baltschieder,VS,de
Ausserberg,3938,Ausserberg,VS,de
Eggerberg,3939,Eggerberg,VS,de
Steg VS,3940,Steg-Hohtenn,VS,de
Niedergesteln,3942,Niedergesteln,VS,de
Raron,3942,Raron,VS,de
St. German,3942,Raron,VS,de
Eischoll,3943,Eischoll,VS,de
Unterbäch,3944,Unterbäch,VS,de
Gampel,3945,Gampel-Bratsch,VS,de
Niedergampel,3945,Gampel-Bratsch,VS,de
Turtmann,3946,Turtmann-Unterems,VS,de
Gruben,3946,Turtmann-Unterems,VS,de
Ergisch,3947,Ergisch,VS,de
Oberems,3948,Oberems,VS,de
Unterems,3948,Turtmann-Unterems,VS,de
Hohtenn,3949,Steg-Hohtenn,VS,de
Agarn,3951,Agarn,VS,de
Susten,3952,Leuk,VS,de
Inden,3953,Inden,VS,de
Leuk Stadt,3953,Leuk,VS,de
Varen,3953,Varen,VS,de
Leukerbad,3954,Leukerbad,VS,de
Albinen,3955,Albinen,VS,de
Guttet-Feschel,3956,Guttet-Feschel,VS,de
Erschmatt,3957,Leuk,VS,de
Bratsch,3957,Gampel-Bratsch,VS,de
Sierre,3960,Sierre,VS,fr
Muraz (Sierre),3960,Sierre,VS,fr
Niouc,3960,Anniviers,VS,fr
Corin-de-la-Crête,3960,Crans-Montana,VS,fr
Loc,3960,Crans-Montana,VS,fr
Vissoie,3961,Anniviers,VS,fr
St-Luc,3961,Anniviers,VS,fr
Chandolin,3961,Anniviers,VS,fr
Ayer,3961,Anniviers,VS,fr
Zinal,3961,Anniviers,VS,fr
Grimentz,3961,Anniviers,VS,fr
Mission,3961,Anniviers,VS,fr
St-Jean VS,3961,Anniviers,VS,fr
Crans-Montana,3963,Crans-Montana,VS,fr
Montana,3963,Crans-Montana,VS,fr
Aminona,3963,Crans-Montana,VS,fr
Chippis,3965,Chippis,VS,fr
Chalais,3966,Chalais,VS,fr
Réchy,3966,Chalais,VS,fr
Vercorin,3967,Chalais,VS,fr
Veyras,3968,Veyras,VS,fr
Salgesch,3970,Salgesch,VS,de
Chermignon,3971,Crans-Montana,VS,fr
Chermignon-d'en-Bas,3971,Crans-Montana,VS,fr
Ollon VS,3971,Crans-Montana,VS,fr
Miège,3972,Miège,VS,fr
Venthône,3973,Venthône,VS,fr
Mollens VS,3974,Crans-Montana,VS,fr
Randogne,3975,Crans-Montana,VS,fr
Noës,3976,Sierre,VS,fr
Champzabé,3976,Crans-Montana,VS,fr
Granges VS,3977,Sierre,VS,fr
Flanthey,3978,Lens,VS,fr
Grône,3979,Grône,VS,fr
Bitsch,3982,Bitsch,VS,de
Bister,3983,Bister,VS,de
Goppisberg,3983,Riederalp,VS,de
Greich,3983,Riederalp,VS,de
Mörel,3983,Mörel-Filet,VS,de
Filet,3983,Mörel-Filet,VS,de
Fiesch,3984,Bellwald,VS,de
Fiesch,3984,Fiesch,VS,de
Fieschertal,3984,Fieschertal,VS,de
Münster VS,3985,Goms,VS,de
Geschinen,3985,Goms,VS,de
Ried-Mörel,3986,Riederalp,VS,de
Riederalp,3987,Riederalp,VS,de
Ulrichen,3988,Obergoms,VS,de
Obergesteln,3988,Obergoms,VS,de
Biel VS,3989,Goms,VS,de
Ritzingen,3989,Goms,VS,de
Selkingen,3989,Goms,VS,de
Niederwald,3989,Goms,VS,de
Blitzingen,3989,Goms,VS,de
Betten,3991,Bettmeralp,VS,de
Bettmeralp,3992,Bettmeralp,VS,de
Grengiols,3993,Grengiols,VS,de
Lax,3994,Lax,VS,de
Martisberg,3994,Bettmeralp,VS,de
Ernen,3995,Ernen,VS,de
Ausserbinn,3995,Ernen,VS,de
Mühlebach (Goms),3995,Ernen,VS,de
Mühlebach (Goms),3995,Ernen,VS,de
Steinhaus,3995,Ernen,VS,de
